timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1528346006060,6005,79 /themes/SuiteR/css/bootstrap.min.css,200,OK,Thread Group 1-9,text,true,,122763,489,10,10,773,0,0
1528345982194,30919,81 /cache/include/javascript/sugar_grp1_jquery.js,200,OK,Thread Group 1-1,text,true,,662949,444,10,10,957,0,185
1528346013125,1004,86 /include/javascript/qtip/jquery.qtip.min.css,200,OK,Thread Group 1-1,text,true,,9359,497,10,10,964,0,192
1528346008798,6006,79 /themes/SuiteR/css/bootstrap.min.css,200,OK,Thread Group 1-4,text,true,,122763,489,10,10,775,0,0
1528346012839,2935,78 /index.php,200,OK,Thread Group 1-3,text,true,,18733,361,10,10,981,0,212
1528346014131,1754,85 /cache/themes/SuiteR/js/style.js,200,OK,Thread Group 1-1,text,true,,30007,430,10,10,769,0,0
1528346010045,6005,79 /themes/SuiteR/css/bootstrap.min.css,200,OK,Thread Group 1-5,text,true,,122763,489,10,10,774,0,0
1528346007194,9265,83 /cache/include/javascript/sugar_grp1.js,200,OK,Thread Group 1-8,text,true,,190696,437,10,10,924,0,154
1528346015886,578,88 /include/javascript/jquery/themes/base/jquery.ui.all.css,200,OK,Thread Group 1-1,text,true,,605,509,10,10,578,0,180
1528346015776,822,80 /themes/SuiteR/css/footable.core.css,200,OK,Thread Group 1-3,text,true,,5731,489,10,10,822,0,175
1528345986078,30899,81 /cache/include/javascript/sugar_grp1_jquery.js,200,OK,Thread Group 1-2,text,true,,662949,444,10,10,944,0,172
1528346011101,6007,79 /themes/SuiteR/css/bootstrap.min.css,200,OK,Thread Group 1-10,text,true,,122763,489,10,10,774,0,0
1528346016465,870,89 /cache/themes/SuiteR/css/deprecated.css,200,OK,Thread Group 1-1,text,true,,10602,452,10,10,771,0,0
1528346016601,851,84 /include/javascript/calendar.js,200,OK,Thread Group 1-3,text,true,,10278,429,10,10,769,0,0
1528346011997,6002,79 /themes/SuiteR/css/bootstrap.min.css,200,OK,Thread Group 1-6,text,true,,122763,489,10,10,775,0,0
1528346016990,1011,86 /include/javascript/qtip/jquery.qtip.min.css,200,OK,Thread Group 1-2,text,true,,9359,497,10,10,971,0,198
1528346018002,1754,85 /cache/themes/SuiteR/js/style.js,200,OK,Thread Group 1-2,text,true,,30007,430,10,10,769,0,0
1528346019757,540,88 /include/javascript/jquery/themes/base/jquery.ui.all.css,200,OK,Thread Group 1-2,text,true,,605,509,10,10,540,0,141
1528346020298,866,89 /cache/themes/SuiteR/css/deprecated.css,200,OK,Thread Group 1-2,text,true,,10602,452,10,10,769,0,0
1528346012069,9285,83 /cache/include/javascript/sugar_grp1.js,200,OK,Thread Group 1-9,text,true,,190696,437,10,10,946,0,175
1528346017453,6002,79 /themes/SuiteR/css/bootstrap.min.css,200,OK,Thread Group 1-3,text,true,,122763,489,10,10,772,0,0
1528346014807,9271,83 /cache/include/javascript/sugar_grp1.js,200,OK,Thread Group 1-4,text,true,,190696,437,10,10,932,0,161
1528346016053,9302,83 /cache/include/javascript/sugar_grp1.js,200,OK,Thread Group 1-5,text,true,,190696,437,10,10,967,0,198
1528346017113,9293,83 /cache/include/javascript/sugar_grp1.js,200,OK,Thread Group 1-10,text,true,,190696,437,10,10,955,0,185
1528346018002,9280,83 /cache/include/javascript/sugar_grp1.js,200,OK,Thread Group 1-6,text,true,,190696,437,10,10,940,0,169
1528346017338,11433,87 /cache/themes/SuiteR/css/yui.css,200,OK,Thread Group 1-1,text,true,,241468,445,10,10,770,0,0
